Ticker, SERIES, Date, PREV_CLOSE,Open, High, Low, LAST_PRICE, Close, AVG_PRICE,Volume, TURNOVER_LACS,Traded, DELIV_QTY, DELIV_PER
1018GS2026, GS,17/04/2025,106.2,106.75,106.75,106,106.75,106.75,106.66,2224,2.37,11,1696,76.26
20MICRONS, EQ,17/04/2025,206.24,207.9,224.45,206.24,219.89,218.38,217.51,333590,725.58,9871,131211,39.33
21STCENMGM, EQ,17/04/2025,74.52,76,76.01,76,76.01,76.01,76.01,4252,3.23,46,4252,100
360ONE, EQ,17/04/2025,943.75,954.95,990.6,950.05,953,956.8,972.85,2754876,26800.72,90431,1713163,62.19
3IINFOLTD, EQ,17/04/2025,22.23,22.3,22.45,22.1,22.23,22.25,22.3,292672,65.26,2080,142095,48.55
3MINDIA, EQ,17/04/2025,30715,30720,30840,30150,30170,30335,30420.58,2590,787.89,1651,1108,42.78
3PLAND, EQ,17/04/2025,42.76,42.01,43.32,40.15,41.85,42.31,42.2,10089,4.26,124,6508,64.51
574GS2026, GS,17/04/2025,101.49,101.4,101.49,101.2,101.44,101.44,101.42,2037,2.07,8,2037,100
579GS2030, GS,17/04/2025,99.35,98.4,98.4,98.4,98.4,98.4,98.4,101,0.1,1,101,100
5PAISA, EQ,17/04/2025,385.75,385,387.9,376.6,380.7,380.6,381.23,23610,90.01,2488,8744,37.04
610GS2031, GS,17/04/2025,98.31,99,99,99,99,99,99,500,0.5,1,500,100
63MOONS, EQ,17/04/2025,741.1,727.05,739,712,718,717.2,724.18,122805,889.33,4883,76530,62.32
654GS2032, GS,17/04/2025,101.5,102.01,102.01,102.01,102.01,102.01,102.01,20009,20.41,2,20009,100
667GS2035, GS,17/04/2025,114.45,119,119,119,119,119,119,1,0,1,1,100
667GS2050, GS,17/04/2025,99.5,99.8,100,99.8,100,100,99.81,100,0.1,2,100,100
675GS2029, GS,17/04/2025,102.24,103,103,103,103,103,103,1100,1.13,2,1100,100
679GS2034, GS,17/04/2025,101.45,101.9,101.9,101.9,101.9,101.9,101.9,200,0.2,2,200,100
